Movie,Netflix Result,404,URL
Barbie in Princess Power,Found,NO,https://www.netflix.com/title/80031038?source=35
Barbie in Rock 'N Royals,Found,NO,https://www.netflix.com/title/80065930?source=35
Barbie: Princess Charm School,Found,NO,https://www.netflix.com/title/70197459?source=35
Barbie: Spy Squad,Found,NO,https://www.netflix.com/title/80095193?source=35
Barbie: Star Light Adventure,Found,NO,https://www.netflix.com/title/80112370?source=35
Barbie: The Princess and The Popstar,Found,NO,https://www.netflix.com/title/70246439?source=35
Barbie Video Game Hero,Found,NO,https://www.netflix.com/title/80158155?source=35
Barbra: The Music ... The Mem'ries ... The Magic!,Found,NO,https://www.netflix.com/title/80203522?source=35
Barça Dreams,Found,NO,https://www.netflix.com/title/81003984?source=35
Barcelona: A Love Untold,Found,NO,https://www.netflix.com/title/80145621?source=35
Bareilly's Barfi,Found,NO,https://www.netflix.com/title/81016193?source=35
Barely Lethal,Found,NO,https://www.netflix.com/title/80049177
Barfi!,Found,NO,https://www.netflix.com/title/70219525?source=35
Barry,Found,NO,https://www.netflix.com/title/80144803?source=35
Bartita,Found,NO,https://www.netflix.com/title/81035871?source=35
Bathinda Express,Found,NO,https://www.netflix.com/title/81024712?source=35
Bathtubs Over Broadway,Found,NO,https://www.netflix.com/title/81044103?source=35
Battle,Found,NO,https://www.netflix.com/title/81002685?source=35
Battle Drone,Found,NO,https://www.netflix.com/title/80232404?source=35
Battle: Los Angeles,Found,NO,https://www.netflix.com/title/70138789?source=35
Bawarchi,Not Found,N/A,N/A
Bayonet,Found,NO,https://www.netflix.com/title/80188579?source=35
Bazaar,Found,NO,https://www.netflix.com/title/81044299?source=35
Beak and Brain,Found,NO,https://www.netflix.com/title/80135631?source=35
Beary Tales,Found,NO,https://www.netflix.com/title/80135586?source=35
Beasts of No Nation,Found,NO,https://www.netflix.com/title/80044545?source=35
Beast Stalker,Found,NO,https://www.netflix.com/title/70117354?source=35
Beat Bugs: All Together Now,Found,NO,https://www.netflix.com/title/80208104?source=35
Beats,Found,NO,https://www.netflix.com/title/80216302?source=35
Beauties of the Night,Found,NO,https://www.netflix.com/title/80141787?source=35
Beauty and the Bestie,Found,NO,https://www.netflix.com/title/80094723?source=35
